STATE,REGION,UninsuredPop,UninsuredPCT,Uninsured,HighSchoolGradPct,HighSchoolGradRank,BachelorPct,BachelorRank,AdvancedPct,GDPperCapita,DebtLow,DebtHigh,Year,Population,ViolentCrimeTotal,ViolentCrimeCapita,Murder.Manslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimePer1000,HighSchoolRankBucket,HSRankQuartile,Confidence,RegionNumber
Alaska,Alaska,126717.904,0.172,17.2,0.924,5,0.29,28,0.104,38559,1.62,1.75,2014,736732,4684,0.006357807,41,555,771,629,3243,20334,3150,15445,1739,6.357807181,0-13,1,7.443337381,1
Arizona,Intermountain,915481.824,0.136,13.6,0.865,39,0.284,32,0.107,34965,1.75,1.89,2014,6731484,26916,0.003998524,319,2464,3378,6249,16970,215240,43562,154091,17587,3.998523951,38-51,4,7.419104784,2
Colorado,Intermountain,551654.198,0.103,10.3,0.911,14,0.394,3,0.146,63502,1.75,1.89,2014,5355866,16554,0.003090817,151,2121,3039,3039,10325,135510,23472,99464,12574,3.090816686,14-26,2,8.727826553,2
Montana,Intermountain,145348.218,0.142,14.2,0.93,1,0.307,21,0.101,50631,1.62,1.75,2014,1023579,3313,0.003236682,37,430,541,203,2532,25312,3595,19674,2043,3.236682269,0-13,1,8.319872648,2
New Mexico,Intermountain,302407.94,0.145,14.5,0.85,47,0.269,39,0.118,62841,1.51,1.62,2014,2085572,12459,0.005973901,101,1071,1475,2086,8797,73877,18505,49082,6290,5.973900685,38-51,4,7.432007746,2
Oklahoma,Intermountain,597219.854,0.154,15.4,0.875,34,0.248,44,0.083,49395,1.09,1.24,2014,3878051,15744,0.004059771,175,1277,1777,3048,10744,115982,29508,75891,10583,4.059771261,27-38,3,7.594352093,2
Texas,Intermountain,5148778.978,0.191,19.1,0.828,50,0.287,30,0.099,48173,1.09,1.24,2014,26956958,109414,0.004058841,1184,8236,11393,31181,65656,813934,169234,576154,68546,4.058840764,38-51,4,6.81683127,2
Utah,Intermountain,367862.75,0.125,12.5,0.918,10,0.325,16,0.11,41929,1.62,1.75,2014,2942902,6346,0.002156375,67,945,1454,1312,3513,84711,11518,65895,7298,2.156374898,0-13,1,8.333941035,2
Wyoming,Intermountain,70098.36,0.12,12,0.928,4,0.267,41,0.093,60777,1.41,1.51,2014,584153,1142,0.001954967,16,126,174,53,899,11477,1689,9185,603,1.954967277,0-13,1,8.799765684,2
Arkansas,Midwest,350031.542,0.118,11.8,0.856,44,0.22,49,0.079,52974,1.24,1.33,2014,2966369,14243,0.004801493,165,1182,1763,2050,10265,99018,24790,68627,5601,4.801493004,38-51,4,7.732318841,3
Illinois,Midwest,1249416.26,0.097,9.7,0.886,31,0.334,13,0.13,43064,1.09,1.24,2014,12880580,47663,0.003700377,685,3081,4159,15299,27520,267385,50008,199926,17451,3.700376846,27-38,3,8.166935329,3
Indiana,Midwest,785025.745,0.119,11.9,0.883,32,0.253,43,0.092,48001,1.09,1.24,2014,6596855,24099,0.003653104,330,1615,2186,6897,14686,174776,36893,124022,13861,3.653104396,27-38,3,8.019903781,3
Iowa,Midwest,192641.812,0.062,6.2,0.918,9,0.277,36,0.09,45514,1.09,1.24,2014,3107126,8497,0.002734682,60,828,1128,1045,6264,65056,14428,46477,4151,2.734681503,0-13,1,8.962325305,3
Kansas,Midwest,296210.142,0.102,10.2,0.905,17,0.323,17,0.117,38052,1.09,1.24,2014,2904021,10123,0.003485856,91,1075,1411,1362,7259,79431,15828,56697,6906,3.485856335,14-26,2,8.222619242,3
Michigan,Midwest,842339.545,0.085,8.5,0.902,21,0.281,34,0.11,51272,1.09,1.24,2014,9909877,42348,0.004273312,535,4049,6273,8021,27519,202547,44184,137206,21157,4.273312373,14-26,2,8.52329014,3
Minnesota,Midwest,321973.207,0.059,5.9,0.928,3,0.348,11,0.118,31786,1.24,1.33,2014,5457173,12505,0.002291479,88,1452,2001,3687,6729,125377,20773,96237,8367,2.291479489,0-13,1,8.823623018,3
Missouri,Midwest,709439.913,0.117,11.7,0.892,28,0.282,33,0.107,38537,1.09,1.24,2014,6063589,26856,0.00442906,403,1706,2379,5592,18482,176237,35258,124622,16357,4.429060083,27-38,3,7.874037169,3
Nebraska,Midwest,182505.791,0.097,9.7,0.909,15,0.306,22,0.102,43382,1.09,1.24,2014,1881503,5275,0.00280361,54,620,862,1043,3316,47479,7950,35074,4455,2.803609667,14-26,2,8.484265482,3
North Dakota,Midwest,58419.078,0.079,7.9,0.923,6,0.289,29,0.078,44896,0.39,1.09,2014,739482,1960,0.002650504,22,276,358,173,1407,15605,2707,11384,1514,2.650504001,0-13,1,8.84112709,3
Ohio,Midwest,973909.692,0.084,8.4,0.898,26,0.272,37,0.102,41861,1.09,1.24,2014,11594163,33030,0.002848847,464,4097,5042,12753,14771,324528,78845,227668,18015,2.848847304,14-26,2,8.468974313,3
South Dakota,Midwest,83611.15,0.098,9.8,0.914,13,0.278,35,0.083,41091,1.09,1.24,2014,853175,2786,0.00326545,20,413,470,200,2096,15902,2818,12077,1007,3.265449644,0-13,1,8.431802497,3
Wisconsin,Midwest,420302.172,0.073,7.3,0.917,11,0.29,27,0.099,45382,1.09,1.24,2014,5757564,16714,0.002902964,165,1168,1674,5066,9809,120238,21216,89103,9919,2.902963823,0-13,1,8.824776472,3
District of Columbia,National Capital,34921.329,0.053,5.3,0.903,18,0.566,1,0.328,37705,0.39,1.09,2014,658893,8199,0.012443599,105,352,472,3497,4125,34147,3466,26898,3783,12.44359858,14-26,2,7.766729468,4
Maryland,National Capital,472136.153,0.079,7.9,0.898,25,0.39,4,0.18,62456,1.89,2.13,2014,5976407,26661,0.004461042,365,1144,1619,9544,15133,149859,28012,108745,13102,4.461041559,14-26,2,8.686450238,4
Virginia,National Capital,907565.501,0.109,10.9,0.89,30,0.376,7,0.161,51546,1.75,1.89,2014,8326289,16340,0.001962459,338,1432,2310,4292,9400,160720,23122,129933,7665,1.962458906,27-38,3,8.407877911,4
West Virginia,National Capital,159128.036,0.086,8.6,0.859,42,0.199,51,0.079,35509,1.09,1.24,2014,1850326,5588,0.003020008,74,285,505,651,4358,37648,8973,26779,1896,3.020008366,38-51,4,7.924189383,4
Connecticut,Northeast,248170.713,0.069,6.9,0.902,22,0.384,5,0.17,62174,1.33,1.41,2014,3596677,8522,0.002369409,86,571,782,3159,4495,69070,11955,51005,6110,2.369409319,14-26,2,9.032093533,5
Delaware,Northeast,72977.892,0.078,7.8,0.893,27,0.31,20,0.129,163274,1.51,1.62,2014,935614,4576,0.004890906,54,249,386,1269,2867,27900,5768,20865,1267,4.890905865,27-38,3,8.613188633,5
Maine,Northeast,134338.989,0.101,10.1,0.921,8,0.303,23,0.109,54018,1.51,1.62,2014,1330089,1700,0.00127811,21,360,485,304,890,26421,5030,20592,799,1.278109961,0-13,1,8.894736281,5
Massachusetts,Northeast,222598.464,0.033,3.3,0.903,19,0.421,2,0.187,40463,1.09,1.24,2014,6745408,26399,0.003913625,132,1629,2180,6036,18051,125267,24964,92043,8260,3.913625388,14-26,2,8.87167876,5
New Hampshire,Northeast,122066.796,0.092,9.2,0.928,2,0.36,9,0.138,55161,1.51,1.62,2014,1326813,2602,0.00196109,12,458,594,537,1459,26041,4162,21022,857,1.961090221,0-13,1,9.003669467,5
New Jersey,Northeast,974261.075,0.109,10.9,0.892,29,0.381,6,0.147,40094,1.41,1.51,2014,8938175,23346,0.002611943,349,953,1274,10498,11225,154993,31710,111578,11705,2.611942595,27-38,3,8.162579844,5
New York,Northeast,1717921.749,0.087,8.7,0.861,41,0.353,10,0.154,42659,0.39,1.09,2014,19746227,75398,0.00381835,617,3918,5433,24045,45303,339282,50781,272765,15736,3.818349703,38-51,4,7.998697433,5
Pennsylvania,Northeast,1086912.765,0.085,8.5,0.899,24,0.301,24,0.118,46188,1.09,1.24,2014,12787209,40164,0.003140951,614,2787,3827,13534,22189,247016,45720,188256,13040,3.140951243,14-26,2,8.520858753,5
Rhode Island,Northeast,78082.802,0.074,7.4,0.873,35,0.33,14,0.131,35346,1.41,1.51,2014,1055173,2313,0.002192058,25,253,361,529,1398,22935,4823,16279,1833,2.192057606,27-38,3,8.247098402,5
Vermont,Northeast,31328.1,0.05,5,0.923,7,0.368,8,0.15,43042,1.33,1.41,2014,626562,622,0.000992719,10,99,110,70,432,9551,2034,7273,244,0.992718997,0-13,1,9.256657678,5
California,Pacific,4811510,0.124,12.4,0.825,51,0.326,15,0.122,49639,1.62,1.75,2014,38802500,153709,0.003961317,1699,8398,11527,48680,91803,947192,202670,592670,151852,3.961316925,38-51,4,7.418085252,6
Hawaii,Pacific,75236.733,0.053,5.3,0.916,12,0.32,19,0.108,34094,1.89,2.13,2014,1419561,3680,0.002592351,26,314,445,1107,2102,43297,7778,31640,3879,2.592350734,0-13,1,8.794254489,6
Idaho,Pacific,222287.104,0.136,13.6,0.902,20,0.268,40,0.085,52172,1.75,1.89,2014,1634464,3468,0.002121797,32,468,609,204,2623,30316,6428,22227,1661,2.121796503,14-26,2,8.253115844,6
Nevada,Pacific,431543.048,0.152,15.2,0.858,43,0.237,46,0.081,48652,1.62,1.75,2014,2839099,18045,0.00635589,170,995,1357,5954,10564,74538,21927,42426,10185,6.355889668,38-51,4,7.216823662,6
Oregon,Pacific,385113.183,0.097,9.7,0.767,23,0.323,18,0.122,47540,1.62,1.75,2014,3970239,9224,0.002323286,81,1052,1458,2093,5592,114305,17230,87526,9549,2.323285827,14-26,2,7.226517887,6
Washington,Pacific,649660.76,0.092,9.2,0.908,16,0.345,12,0.127,53439,1.51,1.62,2014,7061530,20136,0.002851507,174,2171,2695,5640,11627,261706,55290,175769,30647,2.851506685,14-26,2,8.690208556,6
Alabama,Southeast,586774.617,0.121,12.1,0.853,45,0.245,45,0.091,73478,1.33,1.41,2014,4849377,20727,0.004274157,276,1436,2005,4701,13745,154094,39715,104238,10141,4.274157278,38-51,4,7.973753653,7
Florida,Southeast,3302287.302,0.166,16.6,0.876,33,0.285,31,0.103,42191,1.62,1.75,2014,19893297,107521,0.005404886,1149,6051,8563,24914,72895,679446,143220,493647,42579,5.404885877,27-38,3,7.240203401,7
Georgia,Southeast,1595380.194,0.158,15.8,0.863,40,0.299,25,0.114,49513,1.41,1.51,2014,10097343,38097,0.003772973,580,2159,3048,12417,22052,331316,76428,228034,26854,3.772972751,38-51,4,7.477739111,7
Kentucky,Southeast,375143.845,0.085,8.5,0.852,46,0.232,48,0.096,45482,1.09,1.24,2014,4413457,9340,0.002116255,160,883,1440,3336,4404,99166,23244,69604,6318,2.1162549,38-51,4,8.149426079,7
Louisiana,Southeast,395222.46,0.085,8.5,0.843,48,0.234,47,0.081,37705,1.24,1.33,2014,4649676,23934,0.005147455,477,992,1375,5695,16387,160824,38337,112596,9891,5.147455436,38-51,4,7.613339411,7
Mississippi,Southeast,434141.455,0.145,14.5,0.834,49,0.213,50,0.08,41926,1.33,1.41,2014,2994079,8338,0.00278483,258,764,1058,2430,4592,87462,24352,58591,4519,2.784829659,38-51,4,7.311192696,7
North Carolina,Southeast,1302659.284,0.131,13.1,0.869,36,0.299,26,0.106,68105,1.51,1.62,2014,9943964,32767,0.003295165,510,1740,2420,8416,21421,285697,79373,192694,13630,3.295164785,27-38,3,8.074523722,7
South Carolina,Southeast,657217.552,0.136,13.6,0.865,37,0.27,38,0.098,46965,1.62,1.75,2014,4832482,24052,0.004977153,311,1480,2068,3997,17676,167217,36721,117594,12902,4.977152527,27-38,3,7.541754292,7
Tennessee,Southeast,785922.24,0.12,12,0.865,38,0.261,42,0.096,50266,1.24,1.33,2014,6549352,39848,0.006084266,371,1861,2531,7265,29681,200447,46642,141206,12599,6.084266046,27-38,3,7.631627476,7